Hub,Servicing Site,REMS Proerty ID,Property Name,Project Street Address 1,Project City Address,Project State,Project Zip Code,Project Zip Code Plus 4,Project Occupancy Date,Project FHA Number,SOA Numeric Name,SOA Description,Project Number of Units,Project Number of Assisted Units,Initial Endorsement Date,Final Endorsement Date,Loan Maturity Date,Original Mortgage Amount,Original Interest Rate,Amortized Unpaid Principal Balance,Owner Organization Name
Atlanta,Atlanta,800004880,North Metro Group Homes Assn Inc,805 E Hembree Crossing,ROSWELL,GA,30076,1106,28-Sep-90,061EH153,202,202/8 Direct Loan/ Elderly-Handicapped,6,5,28-Sep-90,22-Oct-93,01-Feb-31,"$196,200.00",8.375,"$83,999.49",North Metro Group Homes Association Inc
Atlanta,Atlanta,800020382,NORTHWEST APTS OF WEAKLEY COUNTY,109 HARRISON RD,MARTIN,TN,38327,3922,31-May-91,081EH136,202,202/8 Direct Loan/ Elderly-Handicapped,21,20,26-Sep-90,29-Oct-92,01-Aug-31,"$644,000.00",8.375,"$289,555.78","NORTHWEST APTS, INC OF WEAKLEY COUNTY, TN"
Atlanta,Atlanta,800020322,LUTHER TERRACE,3907 JAMES RD,MEMPHIS,TN,38128,5528,04-Apr-89,081EH115,202,202/8 Direct Loan/ Elderly-Handicapped,40,39,28-Sep-88,17-May-90,01-Jun-29,"$1,307,500.00",9,"$453,164.97","LUTHER TERRACE, INC"
Atlanta,Atlanta,800020598,WESLEY APARTMENTS,1155 REELFOOT ST,TIPTONVILLE,TN,38079,1679,27-Nov-85,081EH082,202,202/8 Direct Loan/ Elderly-Handicapped,50,49,30-Nov-84,29-Aug-86,01-Mar-26,"$1,407,200.00",9.25,"$185,074.16","Wesley Homes - Lake County, Inc. (d.b.a. Wesley Ap"
Atlanta,Atlanta,800012303,VILLA PACIS,3440 WISCONSIN AVE,VICKSBURG,MS,39180,5331,18-Apr-91,065EH142,202,202/8 Direct Loan/ Elderly-Handicapped,16,15,18-Sep-90,19-Dec-91,01-Apr-31,"$345,100.00",8.375,"$148,347.11","VILLA PACIS, INC."
Atlanta,Atlanta,800000480,VIOLA BERTOLLA GROUP HOME,4260 N Magnolia St,Loxley,AL,36551,3211,19-Apr-91,062EH241,202,202/8 Direct Loan/ Elderly-Handicapped,10,9,28-Sep-90,19-Sep-91,01-Jun-31,"$290,800.00",8.375,"$127,481.66","VIOLA BERTOLLA GROUP HOME, INC."
Atlanta,Atlanta,800005046,Ware Terrace (Terrace Garden Apartments),1103 Darling Avenue,WAYCROSS,GA,31501,6379,06-Oct-86,061EH091,202,202/8 Direct Loan/ Elderly-Handicapped,40,40,26-Sep-85,23-Mar-87,01-Aug-26,"$1,082,900.00",9.25,"$165,420.02",Ware Terrace Inc
Atlanta,Atlanta,800020577,Watauga Development Corporation,516 SWADLEY RD,JOHNSON CITY,TN,37601,9000,18-Mar-88,087EH119,202,202/8 Direct Loan/ Elderly-Handicapped,11,10,16-Oct-87,17-Nov-88,01-Jul-28,"$211,000.00",9,"$60,812.40",Watauga Development Corporation
Atlanta,Atlanta,800020587,WATAUGA RESIDENTIAL DEVELOPMENT,2802 Plymouth RD,JOHNSON CITY,TN,37601,9200,09-Nov-88,087EH134,202,202/8 Direct Loan/ Elderly-Handicapped,10,10,27-May-88,04-May-89,01-Mar-29,"$333,400.00",9,"$110,395.57",Watauga Residential Development Corporation
Atlanta,Atlanta,800020287,WAVERLY RESIDENTIAL SERVICES,200 AIRPORT RD,WAVERLY,TN,37185,3043,28-Mar-89,086EH136,202,202/8 Direct Loan/ Elderly-Handicapped,9,8,06-Oct-88,19-Jan-90,01-Sep-29,"$194,500.00",9,"$73,199.52","WAVERLY RESIDENTIAL SERVICES, INC"
Atlanta,Atlanta,800012277,SUNFLOWER MANOR APTS,2109 CARDINAL LN,CLARKSDALE,MS,38614,7632,08-May-92,065EH167,202,202/8 Direct Loan/ Elderly-Handicapped,31,30,20-Sep-91,30-Oct-92,01-Nov-32,"$977,100.00",9,"$515,061.21","Sunflower Manor, Inc."
Atlanta,Atlanta,800007937,WELLSPRING II dba AMITY APTS.,1782 DIXDALE AVE,LOUISVILLE,KY,40210,2247,30-Jun-89,083EH228,202,202/8 Direct Loan/ Elderly-Handicapped,13,12,03-Nov-88,15-Aug-90,01-Oct-29,"$460,600.00",9,"$170,421.07",AMITY HOUSING INC.
Atlanta,Atlanta,800000473,VERA HOUSE,1618 8TH AVE N,BESSEMER,AL,35020,5743,29-Jan-87,062EH135,202,202/8 Direct Loan/ Elderly-Handicapped,11,10,30-Sep-86,29-Sep-87,01-May-27,"$301,000.00",9.25,"$63,515.97",Vera House
Atlanta,Atlanta,800012311,WESLEY MANOR I,311 WESTOVER DR,HATTIESBURG,MS,39402,,23-Jul-86,065EH084,202,202/8 Direct Loan/ Elderly-Handicapped,40,40,27-Jun-85,07-Oct-87,01-Aug-26,"$1,608,500.00",9.25,"$245,666.40","Hattiesburg Area Senior Services, Inc."
Atlanta,Atlanta,800012315,Westside Manor,125 CHERRY ST,SHANNON,MS,38868,8305,11-Oct-88,065EH121,202,202/8 Direct Loan/ Elderly-Handicapped,12,12,27-Jan-88,13-Apr-89,01-Sep-28,"$329,400.00",9,"$98,688.09",COMMUNITY BETTERMENT CORPORATION
Atlanta,Atlanta,800012321,"WILLOWOOD ALTERNATIVE LIVING, INC.",350 WOODSTONE DR,CLINTON,MS,39056,4910,21-Jan-86,065EH090,202,202/8 Direct Loan/ Elderly-Handicapped,14,12,18-Jul-85,16-Sep-86,01-Jan-26,"$437,700.00",9.25,"$45,759.76",Willowood Alternative Living
Atlanta,Atlanta,800013313,WNC COMMUNITY HOMES #1,200 Wellington Dr,Lincolnton,NC,28092,8658,28-Mar-89,053EH547,202,202/8 Direct Loan/ Elderly-Handicapped,7,6,07-Dec-88,02-Mar-90,01-Jul-29,"$174,400.00",9,"$70,484.32",WESTERN NORTH CAROLINA COMMUNITY HOMES #1 INC
Atlanta,Atlanta,800013292,WNC COMMUNITY HOMES #2,203 N TORIA DR,STATESVILLE,NC,28677,4354,23-Aug-90,053EH573,202,202/8 Direct Loan/ Elderly-Handicapped,7,6,29-May-90,24-Sep-91,01-Jan-31,"$191,800.00",8.375,"$88,415.51","WESTERN NC COMMUNITY HOMES #2, INC."
Atlanta,Atlanta,800013334,WNC MADISON COUNTY GROUP HOME,36 Mountain Heights Ave,Hot Springs,NC,28743,,14-Jul-88,053EH368,202,202/8 Direct Loan/ Elderly-Handicapped,7,6,21-Mar-88,02-Feb-90,01-Oct-28,"$188,600.00",9,"$57,438.02",WNC MADISON COUNTY HOUSING CORPORATION
Atlanta,Atlanta,800013333,WNC Mitchell County Group Home,86 Richmond Rd,Bakersville,NC,28705,9460,26-Aug-88,053EH366,202,202/8 Direct Loan/ Elderly-Handicapped,7,6,18-Dec-87,23-Mar-90,01-Sep-28,"$179,800.00",9,"$54,700.87",WNC Mitchell Co. Housing Corp.
Atlanta,Atlanta,800007936,Wellspring Apts. I (SPECIALIZED HOUSING),846 S SIXTH ST,LOUISVILLE,KY,40203,2122,12-Nov-87,083EH191,202,202/8 Direct Loan/ Elderly-Handicapped,12,12,17-Apr-87,28-Jun-88,01-Dec-27,"$453,200.00",9.25,"$116,553.70","SPECIALIZED HOUSING, INC"
Atlanta,Atlanta,800020542,THE WEBSTER HOME,141 HART CIR,KINGSTON,TN,37763,7122,19-Jun-90,087EH138,202,202/8 Direct Loan/ Elderly-Handicapped,9,8,01-Dec-89,18-Apr-91,01-Aug-30,"$216,600.00",8.375,"$85,591.41",The Webster Home
Atlanta,Atlanta,800020515,SRVS GROUP HOME II,6602 KIRBY MEADOWS CV,MEMPHIS,TN,38115,4217,24-Mar-92,081EH148,202,202/8 Direct Loan/ Elderly-Handicapped,9,8,30-Sep-91,18-Mar-93,01-May-32,"$212,900.00",9,"$105,013.79","SRVS Group Home II, Inc."
Atlanta,Atlanta,800004985,"Statesboro Asn  Hsg, Inc",801 Gentilly RD,STATESBORO,GA,30458,5418,21-Mar-89,061EH124,202,202/8 Direct Loan/ Elderly-Handicapped,10,10,29-Sep-87,20-Nov-89,01-Jul-28,"$283,600.00",9.25,"$132,227.94",Statesboro Association for Hsng Inc
Atlanta,Atlanta,800020526,STEELE CREEK HOUSING CORPORATION,719 KENTUCKY AVE,BRISTOL,TN,37620,3806,18-Aug-86,087EH107,202,202/8 Direct Loan/ Elderly-Handicapped,9,8,24-Mar-86,27-Feb-87,01-Feb-27,"$233,000.00",9.25,"$33,903.49",Steele Creek Housing Corporation
Atlanta,Atlanta,800012274,STONEWOOD,1309 MISSION 66 ST,VICKSBURG,MS,39180,3379,05-Apr-89,065EH144,202,202/8 Direct Loan/ Elderly-Handicapped,40,39,29-Sep-88,20-Dec-89,01-Nov-29,"$1,618,300.00",9,"$601,354.80","Vicksburg Elderly Housing, Inc."
Atlanta,Atlanta,800000449,SUNBURST HOMES,1901 10th Avenue West,JASPER,AL,35501,5213,17-May-91,062EH219,202,202/8 Direct Loan/ Elderly-Handicapped,31,29,27-Sep-90,27-Nov-91,01-May-31,"$894,600.00",8.375,"$388,349.18","SUNBURST HOMES, INC."
Atlanta,Atlanta,800020294,KC HOME OF NEWBERN,807 E Highway 77,NEWBERN,TN,38059,1193,06-Aug-91,081EH133,202,202/8 Direct Loan/ Elderly-Handicapped,9,0,24-Sep-90,14-Aug-92,01-Apr-31,"$216,100.00",8.375,"$153,359.61","KC HOME OF NEWBERN, INC."
Atlanta,Atlanta,800013222,TAMMY LYNN ICF/MR,737 CHAPPELL DR,RALEIGH,NC,27606,3215,16-Oct-85,053EH157,202,202/8 Direct Loan/ Elderly-Handicapped,7,7,24-Oct-84,17-Dec-87,01-Jul-25,"$280,200.00",9.25,"$17,350.57","TLC Tammy Lynn Memorial Foundation, INC"
Atlanta,Atlanta,800007626,VILLA MADONNA  APARTMENTS,36 FATHER RINEY RD,FANCY FARM,KY,42039,9369,25-Jan-90,083EH229,202,202/8 Direct Loan/ Elderly-Handicapped,12,12,30-Mar-89,17-Jul-90,01-Mar-30,"$372,200.00",9.25,"$148,782.65",Fancy Farm Elderly Housing Corp
Atlanta,Atlanta,800007718,THE MOORE COMPLEX,130  FLOYD ST,SOMERSET,KY,42501,2805,16-Nov-90,083EH245,202,202/8 Direct Loan/ Elderly-Handicapped,31,30,14-May-90,11-Apr-91,01-Apr-31,"$1,067,500.00",8.375,"$458,904.79",LAKE CUMBERLAND MR INDEPENDENT LVNG CMPLX INC
Atlanta,Atlanta,800012300,VILLA ELIZABETH,141 N HINDS ST,GREENVILLE,MS,38701,3632,15-Nov-90,065EH155,202,202/8 Direct Loan/ Elderly-Handicapped,16,15,22-Mar-90,19-Apr-91,01-Nov-30,"$421,300.00",8.375,"$172,064.61","Villa Elizabeth, Inc."
Atlanta,Atlanta,800012287,THE WILLOWS,1106 AVENUE C EXTENSION,MCCOMB,MS,39648,4354,08-May-92,065EH176,202,202/8 Direct Loan/ Elderly-Handicapped,21,20,25-Sep-91,30-Oct-92,01-Jul-32,"$676,900.00",9,"$346,105.77","THE WILLOWS, INC."
Atlanta,Atlanta,800012293,TRINITY TERRACE,300 AIRLINE RD,COLUMBUS,MS,39702,6306,28-Jan-85,065EH073,202,202/8 Direct Loan/ Elderly-Handicapped,40,40,29-Feb-84,24-Oct-85,01-Mar-25,"$1,002,400.00",9.25,"$31,093.05","UNITED METH. SR. SERV. OF COLUMBUS AREA, INC."
Atlanta,Atlanta,800005021,Trowell Housing (Trayce Manor),410 E SELLERS ST,DOUGLAS,GA,31533,336,29-Nov-88,061EH150,202,202/8 Direct Loan/ Elderly-Handicapped,6,5,12-Jul-88,09-Feb-90,01-Feb-29,"$113,800.00",9,"$50,224.70",Trowell Housing Incorporated
