FY Obligation Year,Lender_Name,Borrower_Name,Project Name,Main_Address_Line1,City,State Abbreviation,Zip_Code,Date_Loan_Closing,Loan_Amount,Total_Development_Cost,Population_Obligation,Median_Household_Income_Obligation,Total_1_Bedroom_Units,Total_2_Bedroom_Units,Br1 Unit Average Contract Rent,Br2 Unit Average Contract Rent,Construction_Type,Project_Type
2003,KEYBANK NA,ANCHOR HOUSING L.P. X,BADGER RIDGE HOMES,19323 RIDGE DRIVE,EAST DUBUQUE,IL,610250000,2004-02-17T06:00:00Z,1500000,9096188,1900,43750,0,0,0,0,NEW CONSTRUCTION,FAMILY
2005,"PNC BANK, N.A.","ANCHOR HOUSING, LP XI",LEGACY PARK,1701 AIRPORT DRIVE,SHAWNEE,OK,748010000,2005-11-28T06:00:00Z,1550000,6974534,28692,27659,36,24,414,550,NEW CONSTRUCTION,SENIOR
2022,"BONNEVILLE MORTGAGE COMPANY, LLC","ANDALUSIA - HALL NEW APARTMENTS, LTD.",SUN POINTE APARTMENTS,130 SUN POINTE DRIVE,ANDALUSIA,AL,364210000,2023-02-28T06:00:00Z,745000,7327756,8086,57000,8,32,350,410,REHAB/REPAIR,FAMILY
2014,"BONNEVILLE MORTGAGE COMPANY, LLC","ANDERSON HALL APARTMENTS, L.P.",FRANKLIN POINTE,350 FRANK PRICE BLVD.,CLINTON,TN,377166749,2014-03-07T06:00:00Z,3210000,9487612,9841,60700,12,36,569,683,NEW CONSTRUCTION,FAMILY
2008,"BONNEVILLE MORTGAGE COMPANY, LLC","ANDERSON PACIFIC ASSOCIATES, A CA LP",BLUE OAK COURT APARTMENTS,2300 CA-273,ANDERSON,CA,960070000,2009-02-06T06:00:00Z,150000,11234668,9022,24558,0,16,0,575,NEW CONSTRUCTION,FAMILY
2006,"BONNEVILLE MORTGAGE COMPANY, LLC","ANDERSON PACIFIC ASSOCIATES, A CA LP",BLUE OAK COURT APARTMENTS,2300 CA-273,ANDERSON,CA,960070000,2009-02-06T06:00:00Z,2150000,11234668,9022,24558,0,16,0,575,NEW CONSTRUCTION,FAMILY
2009,"BONNEVILLE MORTGAGE COMPANY, LLC","ANDERSON REGENCY II ASSOCIATES, A CA LP",SEASONS AT REGENCY PLACE II,2400 SHADY LANE,ANDERSON,CA,960070000,2012-10-22T05:00:00Z,1400000,14740659,9022,29259,63,16,302,302,NEW CONSTRUCTION,SENIOR
2017,"BONNEVILLE MORTGAGE COMPANY, LLC","ANDOVER PARK, LP",ANDOVER PARK,2108 DALY WALDROP ROAD,KINSTON,NC,285030000,2019-04-18T05:00:00Z,865000,6998980,21677,35687,0,36,0,490,NEW CONSTRUCTION,FAMILY
2006,"PNC BANK, N.A.",ANNADALE PARK LP,ANNADALE PARK,611 GORDAY DRIVE,ASHBURN,GA,317140000,2007-03-29T05:00:00Z,250000,4080000,4419,25676,12,24,320,340,NEW CONSTRUCTION,SENIOR
2008,JPMORGAN CHASE BANK,"APD CA RD 2008, A LIMITED PARTNERSHIP",NILAND APARTMENTS,8031 US HIGHWAY 111,NILAND,CA,922570000,2010-04-01T05:00:00Z,460000,3490542,1143,27500,12,14,510,630,REHAB/REPAIR,FAMILY
2010,JPMORGAN CHASE BANK,"APD CA RD 2008, A LIMITED PARTNERSHIP",HEBER VILLAGE II APARTMENTS,1140 HEBER AVENUE,HEBER,CA,922490000,2010-04-07T05:00:00Z,85000,2395941,2988,31500,4,8,600,690,REHAB/REPAIR,FAMILY
2008,JPMORGAN CHASE BANK,"APD CA RD 2008, A LIMITED PARTNERSHIP",HEBER VILLAGE II APARTMENTS,1140 HEBER AVENUE,HEBER,CA,922490000,2010-04-01T05:00:00Z,825000,2395941,2988,31500,4,8,600,690,REHAB/REPAIR,FAMILY
2010,JPMORGAN CHASE BANK,"APD CA RD 2008, A LIMITED PARTNERSHIP",CALEXICO APARTMENTS,1020 KLOKE AVENUE,CALEXICO,CA,922310000,2010-04-07T05:00:00Z,135000,3524934,27109,30277,8,16,425,502,REHAB/REPAIR,FAMILY
2008,JPMORGAN CHASE BANK,"APD CA RD 2008, A LIMITED PARTNERSHIP",CALEXICO APARTMENTS,1020 KLOKE AVENUE,CALEXICO,CA,922310000,2010-04-01T05:00:00Z,760000,3524934,27109,30277,8,16,425,502,REHAB/REPAIR,FAMILY
2012,"BONNEVILLE MORTGAGE COMPANY, LLC","APD HOUSING PARTNERS 16, LP",WOODGATE APARTMENTS,308 WOODGATE PLACE,BURLINGTON,WA,982330000,2012-09-20T05:00:00Z,1890000,3578483,8388,55458,40,0,675,0,REHAB/REPAIR,SENIOR
2012,"BONNEVILLE MORTGAGE COMPANY, LLC","APD HOUSING PARTNERS 16, LP",CHELSEA APTS,280 NE IZETT STREET,OAK HARBOR,WA,982770000,2012-09-20T05:00:00Z,1463860,3045984,22075,54839,33,7,710,850,REHAB/REPAIR,SENIOR
2012,"BONNEVILLE MORTGAGE COMPANY, LLC","APD HOUSING PARTNERS 16, LP",WELLINGTON APTS,4239 84TH STREET NE (WELLINGTON),MARYSVILLE,WA,982700000,2012-09-20T05:00:00Z,3702958,7175554,60020,88000,8,20,725,800,REHAB/REPAIR,MIXED
2012,"BONNEVILLE MORTGAGE COMPANY, LLC","APD HOUSING PARTNERS 16, LP",NEWPORT APARTMENTS,380 NE IZETT,OAK HARBOR,WA,982770000,2012-09-20T05:00:00Z,767915,1783322,22075,72500,0,11,0,725,REHAB/REPAIR,FAMILY
2012,"BONNEVILLE MORTGAGE COMPANY, LLC","APD HOUSING PARTNERS 16, LP",HARMONY HOUSE,1100 N 13TH STREET,SHELTON,WA,985840000,2012-09-20T05:00:00Z,1134695,2508961,9834,60200,20,10,700,800,REHAB/REPAIR,SENIOR
2009,CENTENNIAL MORTGAGE INC,"APD HOUSING PARTNERS 18, LP",FIR TERRACE APARTMENTS,2610 MILL BAY ROAD,KODIAK,AK,996150000,2009-10-28T05:00:00Z,1310000,10276939,6334,76000,13,48,841,932,REHAB/REPAIR,FAMILY
2009,CENTENNIAL MORTGAGE INC,"APD HOUSING PARTNERS 18, LP",FOREST APARTMENTS,330 S COBB STREET,PALMER,AK,996450000,2009-10-28T05:00:00Z,1215000,4312787,4553,92900,12,20,646,764,REHAB/REPAIR,FAMILY
2009,CENTENNIAL MORTGAGE INC,"APD HOUSING PARTNERS 18, LP",NORTHRIDGE TERRACE,424 E DOGWOOD AVENUE,PALMER,AK,996450000,2009-10-28T05:00:00Z,1425000,4453154,4533,92900,16,20,646,764,REHAB/REPAIR,FAMILY
2010,BELLWETHER ENTERPRISE REAL ESTATE,"APD HOUSING PARTNERS 21, LP",TANANA APARTMENTS,350 S SANTA CLAUS LANE,NORTH POLE,AK,997050000,2010-10-29T05:00:00Z,1586000,5237263,1778,66942,16,15,812,960,REHAB/REPAIR,MIXED
2010,BELLWETHER ENTERPRISE REAL ESTATE,"APD HOUSING PARTNERS 21, LP",CONIFER WOODS APARTMENTS,4014 BEN WALTERS LANE,HOMER,AK,996030000,2010-10-29T05:00:00Z,1530000,4840046,5691,46892,8,24,735,867,REHAB/REPAIR,FAMILY
2010,BELLWETHER ENTERPRISE REAL ESTATE,"APD HOUSING PARTNERS 21, LP",WOODRIDGE APARTMENTS,903 COOK STREET,KENAI,AK,996110000,2010-10-29T05:00:00Z,2210000,3726387,7686,53167,16,8,1179,1326,REHAB/REPAIR,SENIOR
2010,BELLWETHER ENTERPRISE REAL ESTATE,"APD HOUSING PARTNERS 21, LP",LAURAWOOD ARMS APARTMENTS,131 SHADY LANE,SOLDONTA,AK,996690000,2010-10-29T05:00:00Z,1039000,2414838,4289,61420,23,0,753,0,REHAB/REPAIR,SENIOR
2014,CHURCHILL MORTGAGE INVESTMENT LLC,"ARBOR GATE APARTMENTS NEW, LTD",ARBOR GATE APARTMENTS,106 WILLIAMS DRIVE,BRIDGEPORT,AL,354700000,2014-08-28T05:00:00Z,261000,1737404,2418,34576,20,4,489,567,REHAB/REPAIR,SENIOR
2018,CHURCHILL MORTGAGE INVESTMENT LLC,"ARBOR TRACE II LAKE PARK, LLC",ARBOR TRACE II,4700 ROLLING PINE DRIVE,LAKE PARK,GA,316360000,2018-12-20T06:00:00Z,475000,3982011,733,46887,4,31,604,677,REHAB/REPAIR,FAMILY
2018,CHURCHILL MORTGAGE INVESTMENT LLC,"ARBOR TRACE LAKE PARK, LLC",ARBOR TRACE I,4700 ROLLING PINE DRIVE,LAKE PARK,GA,316360000,2018-12-20T06:00:00Z,643000,2312065,733,50400,24,0,575,0,REHAB/REPAIR,SENIOR
2005,"BONNEVILLE MORTGAGE COMPANY, LLC","ARCATA HUMBOLDT ASSOCIATES II, A CA LP",THE COURTYARDS AT ARCATA II,3101 BOYD ROAD,ARCATA,CA,955210000,2006-08-08T05:00:00Z,1400000,8260574,16651,22315,0,12,0,564,NEW CONSTRUCTION,FAMILY
2004,"PNC BANK, N.A.","ARCATA HUMBOLDT ASSOCIATES, L.P.",THE COURTYARDS AT ARCATA,3101 BOYD ROAD,ARCATA,CA,955030000,2004-11-29T06:00:00Z,1650000,9126089,16651,36716,8,20,496.75,496.75,NEW CONSTRUCTION,FAMILY
2008,BELLWETHER ENTERPRISE REAL ESTATE,"ARDMORE CROSSING, LLC",ARDMORE CROSSING,2251 ANDERSON STATION ROAD,NORTH FOLK VILLAGE,OH,456010000,2009-04-21T05:00:00Z,1590000,7002207,1726,53068,6,22,275,480,NEW CONSTRUCTION,SENIOR
2010,"BONNEVILLE MORTGAGE COMPANY, LLC","ARMONA PACIFIC ASSOCIATES, A CA LP",ARMONA FAMILY APARTMENTS,13845 LYN STREET,ARMONA,CA,932020000,2011-09-16T05:00:00Z,350000,5668895,3239,32790,0,4,0,451,NEW CONSTRUCTION,FAMILY
2005,"PNC BANK, N.A.",ARROYO HOUSING ASSOCIATES L.P.,ARROYO DE PAZ II APTS,66901 TWO BUNCH PALMS TRAIL,DESERT HOT SPRINGS,CA,920780000,2007-10-29T05:00:00Z,900000,7811310,16582,25987,2,12,321,375,NEW CONSTRUCTION,FAMILY
2020,MERCHANTS CAPITAL CORP.,"ARTESA VILLAGE APARTMENTS, LLC",ARTESA VILLAGE APARTMENTS,7828 HIGH MARKET STREET,SUNSET BEACH,NC,284680000,2020-02-21T06:00:00Z,2169134,11168172,3572,86850,12,36,460,548.33,NEW CONSTRUCTION,FAMILY
2013,"BONNEVILLE MORTGAGE COMPANY, LLC","ARVIN PACIFIC ASSOCIATES II, A CA LP",SYCAMORE FAMILY APTS II,740 SYCAMORE ROAD,ARVIN,CA,932030000,2015-03-10T05:00:00Z,1500000,17932262,19304,29740,0,24,0,668,NEW CONSTRUCTION,FAMILY
2011,"BONNEVILLE MORTGAGE COMPANY, LLC","ARVIN PACIFIC ASSOCIATES, A CA LP",SYCAMORE FAMILY APARTMENTS,740 SYCAMORE ROAD,ARVIN,CA,932030000,2013-07-12T05:00:00Z,300000,10970002,12956,23674,0,16,0,328,NEW CONSTRUCTION,FAMILY
2010,"BONNEVILLE MORTGAGE COMPANY, LLC","ARVIN SQUARE, A CA LP",ARVIN APARTMENTS,1410 HOOD STREET,ARVIN,CA,932030000,2010-10-06T05:00:00Z,900000,8001008,4246,31461,12,36,302,363,REHAB/REPAIR,FAMILY
2008,CHURCHILL MORTGAGE INVESTMENT LLC,ASHLEY COURT LLC,ASHLEY COURT,27 SCHOOL STREET,ASHBURNHAM,MA,14300000,2024-08-14T05:00:00Z,"991,357.49",1910750,5546,47874,24,0,875,0,REHAB/REPAIR,SENIOR
2014,"BONNEVILLE MORTGAGE COMPANY, LLC","ASHLEY GROVE SENIOR RESIDENCE, LLC",ASHLEY GROVE SENIOR RESIDENCE,125 GREISHOP STREET,MT. ORAB,OH,451540000,2015-07-08T05:00:00Z,837000,7493907,3664,46046,15,28,487,608,NEW CONSTRUCTION,SENIOR
2016,CHURCHILL MORTGAGE INVESTMENT LLC,"ASHLEY POINTE APARTMENTS, LLC",ASHLEY POINTE,1714 GREENLAWN DRIVE,BEAUFORT,SC,299020000,2016-11-22T06:00:00Z,2100000,8954878,12389,63400,0,40,0,580,NEW CONSTRUCTION,FAMILY
2024,"BONNEVILLE MORTGAGE COMPANY, LLC","ASHLEY VALLEY VERNAL, LLC",ASHLEY VALLEY APARTMENTS,1320 W MAIN ST,VERNAL,UT,840780000,2024-10-03T05:00:00Z,1100000,5309084,10120,81800,0,32,0,850,REHAB/REPAIR,FAMILY
2018,MERCHANTS CAPITAL CORP.,"ASHTON WAY, LLC",ASHTON WAY,325 E. HARRIS PLACE,EDEN,NC,272880000,2018-04-26T05:00:00Z,1030442,6484715,15527,52300,8,22,385,550,NEW CONSTRUCTION,FAMILY
2006,"PNC BANK, N.A.","ASHVILLE HOUSING PARTNERS, LTD.",ASHVILLE SENIOR,100 ABBY COURT,ASHVILLE,OH,431030000,2006-02-23T06:00:00Z,925000,4591032,3174,40778,0,40,0,426,NEW CONSTRUCTION,SENIOR
2009,"BONNEVILLE MORTGAGE COMPANY, LLC",ASPENWOOD MONTPELIER LLC,ASPENWOOD APARTMENTS,235 S. 4TH STREET,MONTPELIER,ID,832540000,2010-09-15T05:00:00Z,875000,2915159,2785,32162,36,0,636,0,REHAB/REPAIR,SENIOR
